idx,senetnce,Option A,Option B,gold_ans,gold_scope_label,OP1,OP1_type,OP2,OP2_type
35,এজন পিয়ানোবাদকে পাঁচটা বেলেগ বেলেগ পিয়ানো সোনাটা পৰিৱেশন কৰিব।,পাঁচটা পিয়ানো সোনাটা একেজন পিয়ানোবাদকে পৰিৱেশন কৰিব,পাঁচটা পিয়ানো সোনাটা পাঁচজন পিয়ানোবাদকে পৰিৱেশন কৰিব,A,inverse,এখন,indefinite,পাঁচটা,number
35,এজন পিয়ানোবাদকে পাঁচটা বেলেগ বেলেগ পিয়ানো সোনাটা পৰিৱেশন কৰিব।,পাঁচটা পিয়ানো সোনাটা পাঁচজন পিয়ানোবাদকে পৰিৱেশন কৰিব,পাঁচটা পিয়ানো সোনাটা একেজন পিয়ানোবাদকে পৰিৱেশন কৰিব,B,inverse,এখন,indefinite,পাঁচটা,number
36,"এটা ষ্টাৰ্টআপত চাৰিজন কৰ্মচাৰী আছে এম, এন, অ, আৰু পি।",মুঠতে চাৰিটা ষ্টাৰ্টআপ আছে যিয়ে এজন কৰ্মচাৰী নিয়োগ কৰে,মুঠতে এটা ষ্টাৰ্টআপ আছে যিয়ে চাৰিজন কৰ্মচাৰীক নিয়োগ কৰে,B,surface,এটা ,indefinite,চাৰিজন,number
36,"এটা ষ্টাৰ্টআপত চাৰিজন কৰ্মচাৰী আছে এম, এন, অ, আৰু পি।",মুঠতে এটা ষ্টাৰ্টআপ আছে যিয়ে চাৰিজন কৰ্মচাৰীক নিয়োগ কৰে,মুঠতে চাৰিটা ষ্টাৰ্টআপ আছে যিয়ে এজন কৰ্মচাৰী নিয়োগ কৰে,A,surface,এটা ,indefinite,চাৰিজন,number
37,এখন গাওঁত ঠিক দুখন বিদ্যালয় আছে - হিলটপ স্কুল আৰু ভেলী স্কুল।,দুয়োখন বিদ্যালয় একেখন গাঁৱতে আছে,বিদ্যালয়খন গাঁৱত আছে,A,inverse,এখন,indefinite,ঠিক দুখন,number
37,এখন গাওঁত ঠিক দুখন বিদ্যালয় আছে - হিলটপ স্কুল আৰু ভেলী স্কুল।,বিদ্যালয়খন গাঁৱত আছে,দুয়োখন বিদ্যালয় একেখন গাঁৱতে আছে,B,inverse,এখন,indefinite,ঠিক দুখন,number
38,"এজন মেনেজাৰে ছয়জন কৰ্মচাৰীৰ স্থানান্তৰৰ পৰিকল্পনা কৰিছে: এলেন, ব্ৰাউন, কাৰ্টাৰ, ডেভিছ, ইভান্স, আৰু ফষ্টাৰ।",এলন আৰু আন পাঁচজন কৰ্মচাৰীৰ শ্বিফ্ট একেজন মেনেজাৰে পৰিকল্পনা কৰি আছে,এলন আৰু আন পাঁচজন কৰ্মচাৰীৰ শ্বিফ্ট বিভিন্ন মেনেজাৰৰ দ্বাৰা পৰিকল্পনা কৰা হৈছে,A,inverse,এখন,indefinite,ছয়জন,number
38,"এজন মেনেজাৰে ছয়জন কৰ্মচাৰীৰ স্থানান্তৰৰ পৰিকল্পনা কৰিছে: এলেন, ব্ৰাউন, কাৰ্টাৰ, ডেভিছ, ইভান্স, আৰু ফষ্টাৰ।",এলন আৰু আন পাঁচজন কৰ্মচাৰীৰ শ্বিফ্ট বিভিন্ন মেনেজাৰৰ দ্বাৰা পৰিকল্পনা কৰা হৈছে,এলন আৰু আন পাঁচজন কৰ্মচাৰীৰ শ্বিফ্ট একেজন মেনেজাৰে পৰিকল্পনা কৰি আছে,B,inverse,এখন,indefinite,ছয়জন,number
39,"দোকান এখনত ঠিক আঠটা নতুন সামগ্ৰী আছে - এ, বি, চি, ডি, ই, এফ, জি, আৰু এইচ।",নটা সামগ্ৰী একেখন দোকানতে আছে,আঠটা সামগ্ৰী একেখন দোকানতে আছে,B,inverse,এখন,indefinite,ঠিক আঠটা,number
39,"দোকান এখনত ঠিক আঠটা নতুন সামগ্ৰী আছে - এ, বি, চি, ডি, ই, এফ, জি, আৰু এইচ।",আঠটা সামগ্ৰী একেখন দোকানতে আছে,নটা সামগ্ৰী একেখন দোকানতে আছে,A,inverse,এখন,indefinite,ঠিক আঠটা,number
40,এজন ভায়োলিনবাদকে সাতটা বেলেগ বেলেগ ভায়োলিন কনচাৰ্ট বজাব।,সাতটা ভায়োলিন কনচাৰ্ট সাতজন ভায়োলিনবাদকে বজাব,সাতটা ভায়োলিন কনচাৰ্ট একেজন ভায়োলিনবাদকে বজাব,B,inverse,এখন,indefinite,সাতটা ,number
40,এজন ভায়োলিনবাদকে সাতটা বেলেগ বেলেগ ভায়োলিন কনচাৰ্ট বজাব।,সাতটা ভায়োলিন কনচাৰ্ট একেজন ভায়োলিনবাদকে বজাব,সাতটা ভায়োলিন কনচাৰ্ট সাতজন ভায়োলিনবাদকে বজাব,A,inverse,এখন,indefinite,সাতটা ,number
41,"এটা নতুন সংস্থাত তিনিজন কৰ্মচাৰী এক্স, ৱাই আৰু জেড আছে।",মুঠতে এটা নতুন সংস্থা আছে যিয়ে তিনিজন কৰ্মচাৰীক নিয়োগ কৰে,মুঠতে এটাতকৈ অধিক নতুন সংস্থা আছে যিয়ে তিনিজন কৰ্মচাৰীক নিয়োগ কৰে,A,surface,এটা ,indefinite,তিনিজন ,number
41,"এটা নতুন সংস্থাত তিনিজন কৰ্মচাৰী এক্স, ৱাই আৰু জেড আছে।",মুঠতে এটাতকৈ অধিক নতুন সংস্থা আছে যিয়ে তিনিজন কৰ্মচাৰীক নিয়োগ কৰে,মুঠতে এটা নতুন সংস্থা আছে যিয়ে তিনিজন কৰ্মচাৰীক নিয়োগ কৰে,B,surface,এটা ,indefinite,তিনিজন ,number
42,"ৰেষ্টুৰেণ্ট এখনে ঠিক চাৰি প্ৰকাৰৰ পাস্তা পৰিৱেশন কৰে - স্পেগেটি, লাচাগনা, ৰাভিওলি, আৰু ফেটুচিন।",চাৰি প্ৰকাৰৰ পাস্তা সকলোবোৰ একেখন ৰেষ্টুৰেণ্টত পৰিৱেশন কৰা হয়,চাৰি প্ৰকাৰৰ পাস্তা সকলোবোৰ পাঁচটা পৃথক ৰেষ্টুৰেণ্টত পৰিৱেশন কৰা হয়,A,inverse,এখন,indefinite,ঠিক চাৰি ,number
42,"ৰেষ্টুৰেণ্ট এখনে ঠিক চাৰি প্ৰকাৰৰ পাস্তা পৰিৱেশন কৰে - স্পেগেটি, লাচাগনা, ৰাভিওলি, আৰু ফেটুচিন।",চাৰি প্ৰকাৰৰ পাস্তা সকলোবোৰ পাঁচটা পৃথক ৰেষ্টুৰেণ্টত পৰিৱেশন কৰা হয়,চাৰি প্ৰকাৰৰ পাস্তা সকলোবোৰ একেখন ৰেষ্টুৰেণ্টত পৰিৱেশন কৰা হয়,B,inverse,এখন,indefinite,ঠিক চাৰি ,number
43,"এজন প্ৰশিক্ষকে পাঁচজন খেলুৱৈক প্ৰশিক্ষণ দি আছে: আন্দ্ৰাল, ব্ৰাজেন্দ্ৰ, চিন্ময়, দিপু আৰু এশান।",পাঁচজন খেলুৱৈক বিভিন্ন প্ৰশিক্ষকে প্ৰশিক্ষণ দি আছে,পাঁচজন খেলুৱৈক একেজন প্ৰশিক্ষকে প্ৰশিক্ষণ দি আছে,B,inverse,এখন,indefinite,পাঁচজন ,number
43,"এজন প্ৰশিক্ষকে পাঁচজন খেলুৱৈক প্ৰশিক্ষণ দি আছে: আন্দ্ৰাল, ব্ৰাজেন্দ্ৰ, চিন্ময়, দিপু আৰু এশান।",পাঁচজন খেলুৱৈক একেজন প্ৰশিক্ষকে প্ৰশিক্ষণ দি আছে,পাঁচজন খেলুৱৈক বিভিন্ন প্ৰশিক্ষকে প্ৰশিক্ষণ দি আছে,A,inverse,এখন,indefinite,পাঁচজন ,number
44,এজন সংগীতজ্ঞই সাতটা বেলেগ বেলেগ পিয়ানো সোনাটা পৰিৱেশন কৰিব।,সাতটা পিয়ানো সোনাটা এজন সংগীতজ্ঞৰ দ্বাৰা পৰিৱেশন কৰা হ'ব,সাতটা পিয়ানো সোনাটা বিভিন্ন সংগীতজ্ঞৰ দ্বাৰা পৰিৱেশন কৰা হ'ব,A,inverse,এখন,indefinite,সাতটা ,number
44,এজন সংগীতজ্ঞই সাতটা বেলেগ বেলেগ পিয়ানো সোনাটা পৰিৱেশন কৰিব।,সাতটা পিয়ানো সোনাটা বিভিন্ন সংগীতজ্ঞৰ দ্বাৰা পৰিৱেশন কৰা হ'ব,সাতটা পিয়ানো সোনাটা এজন সংগীতজ্ঞৰ দ্বাৰা পৰিৱেশন কৰা হ'ব,B,inverse,এখন,indefinite,সাতটা ,number
45,"এখন চিকিৎসালয়ত ঠিক চাৰিজন শল্য চিকিৎসক আছে: অংশু, বিনোদ, চিন্ময়, আৰু দিপু",চাৰিজন শল্য চিকিৎসক সকলো একেখন চিকিৎসালয়ত নাই,চাৰিজন শল্য চিকিৎসক সকলো একেখন চিকিৎসালয়তে আছে,B,inverse,এখন,indefinite,ঠিক চাৰিজন,number
45,"এখন চিকিৎসালয়ত ঠিক চাৰিজন শল্য চিকিৎসক আছে: অংশু, বিনোদ, চিন্ময়, আৰু দিপু",চাৰিজন শল্য চিকিৎসক সকলো একেখন চিকিৎসালয়তে আছে,চাৰিজন শল্য চিকিৎসক সকলো একেখন চিকিৎসালয়ত নাই,A,inverse,এখন,indefinite,ঠিক চাৰিজন,number
46,"এখন পুথিভঁৰালত ঠিক পাঁচ প্ৰকাৰৰ আলোচনী থাকে - সময়, ভোগ, তাঁৰযুক্ত, এক্সপোজ, আৰু য়াটিং।",পাঁচ প্ৰকাৰৰ আলোচনী সকলো একেটা পুথিভঁৰালত নাই,পাঁচ প্ৰকাৰৰ আলোচনী সকলো একেটা পুথিভঁৰালত আছে,B,inverse,এখন,indefinite,ঠিক পাঁচ ,number
46,"এখন পুথিভঁৰালত ঠিক পাঁচ প্ৰকাৰৰ আলোচনী থাকে - সময়, ভোগ, তাঁৰযুক্ত, এক্সপোজ, আৰু য়াটিং।",পাঁচ প্ৰকাৰৰ আলোচনী সকলো একেটা পুথিভঁৰালত আছে,পাঁচ প্ৰকাৰৰ আলোচনী সকলো একেটা পুথিভঁৰালত নাই,A,inverse,এখন,indefinite,ঠিক পাঁচ ,number
47,এজন পৰিচালকে এখন নাটকত ছয়টা চৰিত্ৰৰ বাবে কাষ্টিং কৰি আছে।,নাটকখনৰ ছয়টা চৰিত্ৰ বিভিন্ন পৰিচালকে অভিনয় কৰিছে,নাটকখনৰ ছয়টা চৰিত্ৰ এজন পৰিচালকে অভিনয় কৰিছে,B,inverse,এখন,indefinite,ছয়টা,number
47,এজন পৰিচালকে এখন নাটকত ছয়টা চৰিত্ৰৰ বাবে কাষ্টিং কৰি আছে।,নাটকখনৰ ছয়টা চৰিত্ৰ এজন পৰিচালকে অভিনয় কৰিছে,নাটকখনৰ ছয়টা চৰিত্ৰ বিভিন্ন পৰিচালকে অভিনয় কৰিছে,A,inverse,এখন,indefinite,ছয়টা,number
48,"এখন চিৰিয়াখানাত ঠিক সাতজন ৰক্ষক আছে: অংশিতা, বৰুৱা, চট্টপাধ্যা, ডিনোড, ইলিয়াছ, ফাৰুখ আৰু গুৰুবিন্দৰ।",সাতজন ৰক্ষক সকলো একেখন চিৰিয়াখানাত আছে,সাতজন ৰক্ষক সকলো একেখন চিৰিয়াখানাত নাই,A,inverse,এখন,indefinite,ঠিক সাতজন,number
48,"এখন চিৰিয়াখানাত ঠিক সাতজন ৰক্ষক আছে: অংশিতা, বৰুৱা, চট্টপাধ্যা, ডিনোড, ইলিয়াছ, ফাৰুখ আৰু গুৰুবিন্দৰ।",সাতজন ৰক্ষক সকলো একেখন চিৰিয়াখানাত নাই,সাতজন ৰক্ষক সকলো একেখন চিৰিয়াখানাত আছে,B,inverse,এখন,indefinite,ঠিক সাতজন,number
49,"এজন ৰান্ধনীয়ে ঠিক তিনি প্ৰকাৰৰ চুচি প্ৰস্তুত কৰে - মাকি, নিগিৰি, আৰু চাচিমি।",তিনি প্ৰকাৰৰ চুচি সকলোবোৰ একেজন ৰান্ধনীৰ দ্বাৰা প্ৰস্তুত কৰা নহয়,তিনি প্ৰকাৰৰ চুচি সকলোবোৰ একেজন ৰান্ধনীৰ দ্বাৰা প্ৰস্তুত কৰা হয়,B,inverse,এখন,indefinite,ঠিক তিনি,number
49,"এজন ৰান্ধনীয়ে ঠিক তিনি প্ৰকাৰৰ চুচি প্ৰস্তুত কৰে - মাকি, নিগিৰি, আৰু চাচিমি।",তিনি প্ৰকাৰৰ চুচি সকলোবোৰ একেজন ৰান্ধনীৰ দ্বাৰা প্ৰস্তুত কৰা হয়,তিনি প্ৰকাৰৰ চুচি সকলোবোৰ একেজন ৰান্ধনীৰ দ্বাৰা প্ৰস্তুত কৰা নহয়,A,inverse,এখন,indefinite,ঠিক তিনি,number
50,এজন শিক্ষকে চাৰিটা পৰীক্ষাৰ গ্ৰেডিং কৰি আছে।,পৰীক্ষাৰ চাৰিটা ছেট বিভিন্ন শিক্ষকে শ্ৰেণীবদ্ধ কৰিছে,পৰীক্ষাৰ চাৰিটা ছেট একেজন শিক্ষকে শ্ৰেণীবদ্ধ কৰিছে,B,surface,এখন,indefinite,চাৰিটা,number
50,এজন শিক্ষকে চাৰিটা পৰীক্ষাৰ গ্ৰেডিং কৰি আছে।,পৰীক্ষাৰ চাৰিটা ছেট একেজন শিক্ষকে শ্ৰেণীবদ্ধ কৰিছে,পৰীক্ষাৰ চাৰিটা ছেট বিভিন্ন শিক্ষকে শ্ৰেণীবদ্ধ কৰিছে,A,surface,এখন,indefinite,চাৰিটা,number
51,"এটা গেৰেজত ঠিক পাঁচটা মেকানিক আছে: সমৰ্থ, তন্ময়, বিনোদ, বিৰাট আৰু ৱানিয়া।",পাঁচজন মেকানিক সকলো বেলেগ বেলেগ গেৰেজত আছে,পাঁচজন মেকানিক সকলো একেটা গেৰেজত আছে,B,inverse,এটা ,indefinite,ঠিক পাঁচটা,number
51,"এটা গেৰেজত ঠিক পাঁচটা মেকানিক আছে: সমৰ্থ, তন্ময়, বিনোদ, বিৰাট আৰু ৱানিয়া।",পাঁচজন মেকানিক সকলো একেটা গেৰেজত আছে,পাঁচজন মেকানিক সকলো বেলেগ বেলেগ গেৰেজত আছে,A,inverse,এটা ,indefinite,ঠিক পাঁচটা,number
52,এটা পুথিভঁৰালত সাতটা শাখা আছে।,সাতটা শাখাএকেটা পুথিভঁৰালত আছে,সাতটা শাখাই বিভিন্ন পুথিভঁৰালত আছে,A,inverse,এটা ,indefinite,সাতটা,number
52,এটা পুথিভঁৰালত সাতটা শাখা আছে।,সাতটা শাখাই বিভিন্ন পুথিভঁৰালত আছে,সাতটা শাখাএকেটা পুথিভঁৰালত আছে,B,inverse,এটা ,indefinite,সাতটা,number
53,এজন কৃষকৰ নটা গৰু আছে।,আটাইবোৰ নটা গৰু নটা বেলেগ বেলেগ খেতিয়কৰ,আটাইবোৰ নটা গৰু একেজন খেতিয়কৰ,B,inverse,এখন,indefinite,নটা,number
53,এজন কৃষকৰ নটা গৰু আছে।,আটাইবোৰ নটা গৰু একেজন খেতিয়কৰ,আটাইবোৰ নটা গৰু নটা বেলেগ বেলেগ খেতিয়কৰ,A,inverse,এখন,indefinite,নটা,number
54,এখন বিদ্যালয়ত চাৰিটা অট্টালিকা আছে।,চাৰিটা অট্টালিকা একেখন বিদ্যালয়তে আছে,চাৰিটা অট্টালিকা বিভিন্ন বিদ্যালয়ত আছে,A,inverse,এখন,indefinite,চাৰিটা,number
54,এখন বিদ্যালয়ত চাৰিটা অট্টালিকা আছে।,চাৰিটা অট্টালিকা বিভিন্ন বিদ্যালয়ত আছে,চাৰিটা অট্টালিকা একেখন বিদ্যালয়তে আছে,B,inverse,এখন,indefinite,চাৰিটা,number
55,"এখন চিকিৎসালয়ত, ঠিক পাঁচজন চিকিৎসক আছে: অঞ্জু, মঞ্জু, বেনু, ৰাখী, শ্বেতা।",পাঁচজন চিকিৎসক সকলো একেখন চিকিৎসালয়তে আছে,পাঁচজন চিকিৎসক একেখন চিকিৎসালয়ত নাই,B,inverse,এখন,indefinite, ঠিক পাঁচজন,number
55,"এখন চিকিৎসালয়ত, ঠিক পাঁচজন চিকিৎসক আছে: অঞ্জু, মঞ্জু, বেনু, ৰাখী, শ্বেতা।",পাঁচজন চিকিৎসক একেখন চিকিৎসালয়ত নাই,পাঁচজন চিকিৎসক সকলো একেখন চিকিৎসালয়তে আছে,A,inverse,এখন,indefinite, ঠিক পাঁচজন,number
56,"এটা পাৱাৰ ষ্টেচনৰ অভিযন্তাসকলে বিদ্যুৎ উৎপাদনৰ বাবে ছয়টা টাৰ্বাইন পৰিচালনা কৰে - এ, বি, চি, ডি, ই, আৰু এফ।",সকলো ছয়টা টাৰ্বাইন একেটা পাৱাৰ ষ্টেচনত পৰিচালিত হয়,পাঁচজন চিকিৎসক সকলো একেখন চিকিৎসালয়তে আছে,A,inverse,এটা ,indefinite,ছয়টা,number
56,"এটা পাৱাৰ ষ্টেচনৰ অভিযন্তাসকলে বিদ্যুৎ উৎপাদনৰ বাবে ছয়টা টাৰ্বাইন পৰিচালনা কৰে - এ, বি, চি, ডি, ই, আৰু এফ।",পাঁচজন চিকিৎসক সকলো একেখন চিকিৎসালয়তে আছে,সকলো ছয়টা টাৰ্বাইন একেটা পাৱাৰ ষ্টেচনত পৰিচালিত হয়,B,inverse,এটা ,indefinite,ছয়টা,number
57,এখন বেকাৰীত তিনিটা অভেন আছে।,তিনিওটা অভেন একেখন বেকাৰীত আছে,তিনিওটা অভেন একেখন বেকাৰীত নাই,A,inverse,এখন,indefinite,তিনিটা,number
57,এখন বেকাৰীত তিনিটা অভেন আছে।,তিনিওটা অভেন একেখন বেকাৰীত নাই,তিনিওটা অভেন একেখন বেকাৰীত আছে,B,inverse,এখন,indefinite,তিনিটা,number
58,"এখন বেকাৰীয়ে ছয় প্ৰকাৰৰ ব্ৰেড বিক্ৰী কৰে - এ, বি, চি, ডি, ই, আৰু এফ।",এনে কোনো একক বেকাৰী আছে যিয়ে সকলো ছয় প্ৰকাৰৰ ব্ৰেড বিক্ৰী কৰে,সকলো ছয় প্ৰকাৰৰ ব্ৰেড বিক্ৰী কৰা কোনো বেকাৰী নাই,A,surface,এখন,indefinite,ছয়,number
58,"এখন বেকাৰীয়ে ছয় প্ৰকাৰৰ ব্ৰেড বিক্ৰী কৰে - এ, বি, চি, ডি, ই, আৰু এফ।",সকলো ছয় প্ৰকাৰৰ ব্ৰেড বিক্ৰী কৰা কোনো বেকাৰী নাই,এনে কোনো একক বেকাৰী আছে যিয়ে সকলো ছয় প্ৰকাৰৰ ব্ৰেড বিক্ৰী কৰে,B,surface,এখন,indefinite,ছয়,number
59,"এটা শক্তি প্ৰকল্পৰ অভিযন্তাসকলে নিয়মীয়া তত্বাৱধানৰ বাবে পাঁচটা টাৰ্বাইন পৰিচালনা কৰে - টি1, টি2, টি3, টি4, আৰু টি5।",পাঁচোটা টাৰ্বাইন একেটা শক্তি প্ৰকল্পত পৰিচালিত হয়,পাঁচোটা টাৰ্বাইন একেটা শক্তি প্ৰকল্পত পৰিচালিত নহয়,A,inverse,এটা ,indefinite,পাঁচটা ,number
59,"এটা শক্তি প্ৰকল্পৰ অভিযন্তাসকলে নিয়মীয়া তত্বাৱধানৰ বাবে পাঁচটা টাৰ্বাইন পৰিচালনা কৰে - টি1, টি2, টি3, টি4, আৰু টি5।",পাঁচোটা টাৰ্বাইন একেটা শক্তি প্ৰকল্পত পৰিচালিত নহয়,পাঁচোটা টাৰ্বাইন একেটা শক্তি প্ৰকল্পত পৰিচালিত হয়,B,inverse,এটা ,indefinite,পাঁচটা ,number
60,"এটা ষ্টাৰ্টআপ কোম্পানীৰ তিনিজন প্ৰতিষ্ঠাপক আছে - এক্স, ৱাই, আৰু জেড।",মুঠতে এটা ষ্টাৰ্টআপ কোম্পানী আছে য'ত তিনিজন প্ৰতিষ্ঠাপক আছে,মুঠতে এটাতকৈ অধিক ষ্টাৰ্টআপ কোম্পানী আছে য'ত তিনিজন প্ৰতিষ্ঠাপক আছে,A,surface,এটা ,indefinite,তিনিজন,number
60,"এটা ষ্টাৰ্টআপ কোম্পানীৰ তিনিজন প্ৰতিষ্ঠাপক আছে - এক্স, ৱাই, আৰু জেড।",মুঠতে এটাতকৈ অধিক ষ্টাৰ্টআপ কোম্পানী আছে য'ত তিনিজন প্ৰতিষ্ঠাপক আছে,মুঠতে এটা ষ্টাৰ্টআপ কোম্পানী আছে য'ত তিনিজন প্ৰতিষ্ঠাপক আছে,B,surface,এটা ,indefinite,তিনিজন,number
61,"এটা বিখ্যাত পিয়ানোবাদকৰ এলবামত ঠিক নটা অনন্য ৰচনা অন্তৰ্ভুক্ত আছে - চি1, চি2, চি3, চি4, চি5, চি6, চি7, চি8, আৰু চি9।",সকলো ৰচনা একেটা পিয়ানোবাদকৰ দ্বাৰা,সকলো ৰচনা বিভিন্ন পিয়ানোবাদকৰ দ্বাৰা,A,inverse,এটা ,indefinite,ঠিক নটা,number
61,"এটা বিখ্যাত পিয়ানোবাদকৰ এলবামত ঠিক নটা অনন্য ৰচনা অন্তৰ্ভুক্ত আছে - চি1, চি2, চি3, চি4, চি5, চি6, চি7, চি8, আৰু চি9।",সকলো ৰচনা বিভিন্ন পিয়ানোবাদকৰ দ্বাৰা,সকলো ৰচনা একেটা পিয়ানোবাদকৰ দ্বাৰা,B,inverse,এটা ,indefinite,ঠিক নটা,number
62,"এটা ক্ৰুজ লাইনত মিয়ামিৰ পৰা বাহামালৈ সাতটা যাত্ৰা আছে - ভি1, ভি2, ভি3, ভি4, ভি5, ভি6, আৰু ভি7 যাত্ৰা।","ভি1, ভি2, ভি3, ভি4, ভি5, ভি6, আৰু ভি7 ভ্ৰমণ সকলোএকে ক্ৰুজ লাইনৰ","ভি1, ভি2, ভি3, ভি4, ভি5, ভি6, আৰু ভি7 ভ্ৰমণ সকলোএকে ক্ৰুজ লাইনৰ নহয়",A,inverse,এটা ,indefinite,সাতটা ,number
62,"এটা ক্ৰুজ লাইনত মিয়ামিৰ পৰা বাহামালৈ সাতটা যাত্ৰা আছে - ভি1, ভি2, ভি3, ভি4, ভি5, ভি6, আৰু ভি7 যাত্ৰা।","ভি1, ভি2, ভি3, ভি4, ভি5, ভি6, আৰু ভি7 ভ্ৰমণ সকলোএকে ক্ৰুজ লাইনৰ নহয়","ভি1, ভি2, ভি3, ভি4, ভি5, ভি6, আৰু ভি7 ভ্ৰমণ সকলোএকে ক্ৰুজ লাইনৰ",B,inverse,এটা ,indefinite,সাতটা ,number
63,এখন পুথিভঁৰালত এঘাৰ প্ৰকাৰৰ আলোচনী থাকে।,সকলো এঘাৰ প্ৰকাৰৰ আলোচনী ধাৰণ কৰা কোনো একক পুথিভঁৰাল নাই,এনে কোনো একক পুথিভঁৰাল আছে য'ত সকলো এঘাৰ প্ৰকাৰৰ আলোচনী থাকে,B,surface,এখন ,indefinite,এঘাৰ,number
63,এখন পুথিভঁৰালত এঘাৰ প্ৰকাৰৰ আলোচনী থাকে।,এনে কোনো একক পুথিভঁৰাল আছে য'ত সকলো এঘাৰ প্ৰকাৰৰ আলোচনী থাকে,সকলো এঘাৰ প্ৰকাৰৰ আলোচনী ধাৰণ কৰা কোনো একক পুথিভঁৰাল নাই,A,surface,এখন ,indefinite,এঘাৰ,number
64,"ডাটা চেণ্টাৰএটাত টেকনিচিয়ানসকলে দহটা চাৰ্ভাৰ পৰিচালনা কৰে - এছ1, এছ2, এছ3, এছ4, এছ5, এছ6, এছ7, এছ8, এছ9, আৰু এছ10।",সকলো দহটা চাৰ্ভাৰ একেডাটা কেন্দ্ৰত পৰিচালনা কৰা নহয়,সকলো দহটা চাৰ্ভাৰ একেডাটা কেন্দ্ৰত পৰিচালনা কৰা হয়,B,inverse,এটাত,indefinite,দহটা ,number
64,"ডাটা চেণ্টাৰএটাত টেকনিচিয়ানসকলে দহটা চাৰ্ভাৰ পৰিচালনা কৰে - এছ1, এছ2, এছ3, এছ4, এছ5, এছ6, এছ7, এছ8, এছ9, আৰু এছ10।",সকলো দহটা চাৰ্ভাৰ একেডাটা কেন্দ্ৰত পৰিচালনা কৰা হয়,সকলো দহটা চাৰ্ভাৰ একেডাটা কেন্দ্ৰত পৰিচালনা কৰা নহয়,A,inverse,এটাত,indefinite,দহটা ,number
65,"নতুনকৈ স্থাপিত ফাৰ্ম এটাৰ চাৰিটা অংশীদাৰ আছে - পি1, পি2, পি3, আৰু পি4।",মুঠতে এটা নতুনকৈ স্থাপিত ফাৰ্ম আছে য'ত চাৰিটা অংশীদাৰ আছে,মুঠতে অধিক নতুনকৈ স্থাপিত ফাৰ্ম আছে যাৰ চাৰিটা অংশীদাৰ আছে,A,surface,এটাৰ,indefinite,চাৰিটা,number
65,"নতুনকৈ স্থাপিত ফাৰ্ম এটাৰ চাৰিটা অংশীদাৰ আছে - পি1, পি2, পি3, আৰু পি4।",মুঠতে অধিক নতুনকৈ স্থাপিত ফাৰ্ম আছে যাৰ চাৰিটা অংশীদাৰ আছে,মুঠতে এটা নতুনকৈ স্থাপিত ফাৰ্ম আছে য'ত চাৰিটা অংশীদাৰ আছে,B,surface,এটাৰ,indefinite,চাৰিটা,number
66,"এজন প্ৰখ্যাত ভায়োলিনবাদকৰ সংগীতানুষ্ঠানত ঠিক আঠটা পৃথক টুকুৰা আছে - পি1, পি2, পি3, পি4, পি5, পি6, পি7, আৰু পি8।",সকলো টুকুৰা একেটা ভায়োলিনবাদকে পৰিৱেশন কৰে,সকলো টুকুৰা বিভিন্ন ভায়োলিনবাদকে পৰিৱেশন কৰে,A,inverse,এজন,indefinite,ঠিক আঠটা,number
66,"এজন প্ৰখ্যাত ভায়োলিনবাদকৰ সংগীতানুষ্ঠানত ঠিক আঠটা পৃথক টুকুৰা আছে - পি1, পি2, পি3, পি4, পি5, পি6, পি7, আৰু পি8।",সকলো টুকুৰা বিভিন্ন ভায়োলিনবাদকে পৰিৱেশন কৰে,সকলো টুকুৰা একেটা ভায়োলিনবাদকে পৰিৱেশন কৰে,B,inverse,এজন,indefinite,ঠিক আঠটা,number
67,"এখন বাছ কোম্পানীয়ে বষ্টনৰ পৰা নিউয়ৰ্কলৈ পাঁচটা পথ পৰিচালনা কৰে - আৰ1, আৰ2, আৰ3, আৰ4, আৰু আৰ5 পথ।","আৰ1, আৰ2, আৰ3, আৰ4, আৰু আৰ5 পথবোৰ একেখন বাছ কোম্পানীয়ে পৰিচালনা কৰে",সকলো টুকুৰা একেটা ভায়োলিনবাদকে পৰিৱেশন কৰে,A,inverse,এখন ,indefinite,পাঁচটা,number
67,"এখন বাছ কোম্পানীয়ে বষ্টনৰ পৰা নিউয়ৰ্কলৈ পাঁচটা পথ পৰিচালনা কৰে - আৰ1, আৰ2, আৰ3, আৰ4, আৰু আৰ5 পথ।",সকলো টুকুৰা একেটা ভায়োলিনবাদকে পৰিৱেশন কৰে,"আৰ1, আৰ2, আৰ3, আৰ4, আৰু আৰ5 পথবোৰ একেখন বাছ কোম্পানীয়ে পৰিচালনা কৰে",B,inverse,এখন ,indefinite,পাঁচটা,number
68,"এখন পুথিভঁৰালত ঠিক পাঁচখন নতুন কিতাপ আছে - পি, কিউ, আৰ, এছ, আৰু টি।",পাঁচখন কিতাপ একেখন পুথিভঁৰালত নাই,পাঁচখন কিতাপ একেখন পুথিভঁৰালত আছে,B,inverse,এখন ,indefinite,ঠিক পাঁচখন,number
68,"এখন পুথিভঁৰালত ঠিক পাঁচখন নতুন কিতাপ আছে - পি, কিউ, আৰ, এছ, আৰু টি।",পাঁচখন কিতাপ একেখন পুথিভঁৰালত আছে,পাঁচখন কিতাপ একেখন পুথিভঁৰালত নাই,A,inverse,এখন ,indefinite,ঠিক পাঁচখন,number
